line,sentiment
I AM REALLY FRUSTRATED BECAUSE YOU CONSTANTLY IGNORE MY MESSAGES AND YOU NEVER RESPOND ON TIME WHICH MAKES IT VERY HARD TO GET ANYTHING DONE,Angry
IT MAKES ME UPSET THAT YOU NEVER TAKE RESPONSIBILITY FOR YOUR ACTIONS AND YOU ALWAYS BLAME OTHERS WHEN THINGS GO WRONG WORSENING THE SITUATION,Angry
I CANNOT BELIEVE YOU MISSED ANOTHER DEADLINE AND YOUR LACK OF ATTENTION TO DETAIL IS CAUSING MAJOR PROBLEMS FOR THE ENTIRE TEAM WHICH IS UNACCEPTABLE,Angry
IT ANNOYS ME WHEN YOU INTERRUPT DURING MEETINGS AND YOU NEVER LET ANYONE FINISH THEIR THOUGHTS DISRUPTING THE WHOLE CONVERSATION,Angry
I AM TIRED OF YOUR EXCUSES EVERY TIME SOMETHING GOES WRONG AND YOU NEVER SEEM TO LEARN FROM YOUR MISTAKES WHICH IS VERY DISAPPOINTING,Angry
IT UPSETS ME THAT YOU ALWAYS ARRIVE LATE AND YOU NEVER RESPECT OTHER PEOPLES TIME CAUSING DELAYS AND FRUSTRATION FOR EVERYONE INVOLVED,Angry
I AM REALLY ANGRY BECAUSE YOU NEVER PREPARE FOR MEETINGS AND YOUR LACK OF EFFORT IS EVIDENT WHICH IS VERY UNPROFESSIONAL,Angry
IT INFURIATES ME THAT YOU NEVER APPRECIATE THE HARD WORK OF OTHERS AND YOU ALWAYS TAKE CREDIT FOR THINGS YOU DID NOT DO WHICH IS UNFAIR AND WRONG,Angry
I CANNOT STAND HOW YOU ALWAYS TALK DOWN TO PEOPLE AND YOUR CONDESCENDING ATTITUDE IS REALLY HURTFUL AND UNNECESSARY,Angry
IT IS VERY DISAPPOINTING THAT YOU NEVER FOLLOW THROUGH WITH YOUR PROMISES AND YOUR UNRELIABLE BEHAVIOR IS CAUSING A LOT OF PROBLEMS,Angry
I AM VERY HAPPY BECAUSE YOU ALWAYS LISTEN CAREFULLY AND YOU MAKE EVERYONE FEEL VALUED WHICH CREATES A POSITIVE ENVIRONMENT,Happy
IT IS WONDERFUL HOW YOU ALWAYS COME PREPARED AND YOUR THOROUGHNESS MAKES A BIG DIFFERENCE IN OUR PRODUCTIVITY AND SUCCESS,Happy
I APPRECIATE HOW YOU ALWAYS OFFER TO HELP AND YOUR WILLINGNESS TO ASSIST OTHERS IS TRULY ADMIRABLE AND MAKES EVERYTHING EASIER,Happy
IT IS FANTASTIC THAT YOU ALWAYS HAVE A POSITIVE ATTITUDE AND YOUR ENTHUSIASM IS CONTAGIOUS MAKING THE WORKPLACE ENJOYABLE,Happy
I AM GRATEFUL FOR YOUR SUPPORT AND YOU ALWAYS ENCOURAGE EVERYONE TO DO THEIR BEST WHICH IS VERY INSPIRING AND UPLIFTING,Happy
IT MAKES ME HAPPY THAT YOU ALWAYS RECOGNIZE THE EFFORTS OF OTHERS AND YOUR APPRECIATION MOTIVATES EVERYONE TO KEEP WORKING HARD,Happy
I AM REALLY IMPRESSED BY YOUR CREATIVITY AND YOU ALWAYS BRING FRESH IDEAS TO THE TABLE WHICH IS VERY BENEFICIAL FOR OUR PROJECTS,Happy
IT IS AMAZING HOW YOU ALWAYS STAY CALM UNDER PRESSURE AND YOUR COMPOSURE HELPS EVERYONE STAY FOCUSED AND ON TRACK,Happy
I AM THANKFUL FOR YOUR RELIABILITY AND YOU ALWAYS FOLLOW THROUGH WITH YOUR COMMITMENTS WHICH IS VERY REASSURING,Happy
IT IS GREAT THAT YOU ALWAYS COMMUNICATE CLEARLY AND YOUR ABILITY TO CONVEY INFORMATION EFFECTIVELY IS VERY HELPFUL,Happy
THE MEETING TODAY COVERED A LOT OF IMPORTANT POINTS AND THE DISCUSSION WAS VERY INFORMATIVE PROVIDING VALUABLE INSIGHTS FOR EVERYONE,Neutral
YOUR PRESENTATION WAS CLEAR AND CONCISE AND IT PROVIDED A GOOD OVERVIEW OF THE TOPIC COVERING ALL THE KEY POINTS EFFECTIVELY,Neutral
I APPRECIATE THE FEEDBACK YOU PROVIDED AND IT WAS CONSTRUCTIVE AND WILL HELP IMPROVE THE QUALITY OF OUR WORK MOVING FORWARD,Neutral
THE EVENT YESTERDAY WAS WELLORGANIZED AND THE AGENDA WAS FOLLOWED SMOOTHLY ENSURING EVERYTHING WENT ACCORDING TO PLAN,Neutral
YOUR REPORT WAS THOROUGH AND DETAILED INCLUDING ALL THE NECESSARY INFORMATION AND PRESENTING IT IN A WELLSTRUCTURED MANNER,Neutral
I FOUND YOUR ARTICLE INTERESTING AND WELLWRITTEN AND IT COVERED THE SUBJECT COMPREHENSIVELY WHILE BEING EASY TO UNDERSTAND,Neutral
THE TRAINING SESSION WAS USEFUL PROVIDING PRACTICAL KNOWLEDGE AND SKILLS THAT WILL BE BENEFICIAL IN OUR DAILY TASKS,Neutral
YOUR EMAIL WAS CLEAR AND INFORMATIVE ADDRESSING ALL THE IMPORTANT POINTS AND PROVIDING THE NECESSARY UPDATES,Neutral
I ATTENDED THE WORKSHOP YOU RECOMMENDED AND IT WAS INSIGHTFUL AND PROVIDED VALUABLE INFORMATION ON THE SUBJECT MATTER,Neutral
THE FEEDBACK SESSION WAS PRODUCTIVE ALLOWING FOR OPEN COMMUNICATION AND THE EXCHANGE OF CONSTRUCTIVE IDEAS,Neutral
